Course,Distribs,Quality,Reviews
GEOG080.06: Women in Asian Cities,"SOC, CI",2.0,2.0
GEOG080.09: Humanitarian Emergencies and Geographic Methods,TAS,2.0,1.0
GEOG080.10: COVID-19 and the Social Life of Epidemics,"SOC, INT",4.0,3.0
GEOG080: Seminar in Geography,,1.0,3.0
GEOG090: Research in Geography,SOC,4.0,17.0
GERM001: Introductory German,,30.0,51.0
GERM002: Introductory German (continued),,15.0,44.0
GERM003: Introductory German (continued),,10.0,19.0
GERM005: Aspects of German Culture,W,1.0,2.0
GERM006: Readings in German Literature,"LIT, W",2.0,1.0
GERM007.01: After Hitler,"INT, LIT, W",1.0,1.0
GERM007.05: Franz Kafka,"LIT, W",9.0,6.0
GERM007: First-Year Seminars in German Literature,,8.0,30.0
GERM010.01: To Be Young and German,"SOC, CI",10.0,9.0
GERM010.03: Understanding German Media,"ART, W",3.0,4.0
GERM010.06: Look! A Visual History of Germany,"ART, W",5.0,2.0
GERM013: Beyond Good and Evil,"LIT, CI",1.0,4.0
GERM014: Into the Woods: The Brothers Grimm and the European Folklore Tradition,"LIT, W",6.0,4.0
"GERM015: Nazis, Neonazis, Antifa and the Others: Exploring Responses to the Nazi Past","LIT, CI",3.0,2.0
GERM029: A Cultural Studies Approach to Contemporary Germany and Berlin,"ART, CI",2.0,4.0
GERM030: Studies in German History,"SOC, W",2.0,2.0
GERM031: Studies in German Theater,"LIT, W",2.0,4.0
GERM042: Topics in German Civilization (in English translation),"LIT, W",3.0,10.0
"GERM043.05: Of Golems, Vampires, and Robots: The Haunted Screen of Weimar Cinema (in English)","ART, W",3.0,2.0
"GERM043.06: Migration, Mobility and the Movies: German Film in Global Context",,1.0,1.0
"GERM043: Migration, Mobility and the Movies: German Film in Global Context","INT, ART, CI",2.0,16.0
GERM044.05: Where the Wild Things Are: The Culture of Environmentalism in Germany (in English),"LIT, CI",1.0,1.0
GERM044: The Faust Tradition (in English translation),,3.0,2.0
GERM046.03: 8 Short Books That Will Change Your Life,"LIT, W",0.0,1.0
GERM046: The German Novel (in English translation),,2.0,1.0
GERM047: German Drama (in English translation),,1.0,1.0
GERM061: The Age of Goethe (1749-1832),"LIT, W",2.0,2.0
GERM064.02: Pulp Fiction Meets High Literature: Media and Writing in 19th-Century Germany,"LIT, W",2.0,1.0
GERM067: German Drama: Drama Queens: Madness on Stage,"LIT, W",1.0,2.0
GERM082: Seminar- Religious Moments in German Literature,,1.0,3.0
GERM084: Seminar,,1.0,1.0
GOVT003: The American Political System,"SOC, W",74.0,215.0
GOVT004: Politics of the World,"INT, SOC",88.0,169.0
GOVT005: International Politics,"INT, SOC",347.0,382.0
GOVT006: Political Ideas,TMV,59.0,145.0
GOVT007.02: Nationalism in War,"INT, NW",-4.0,4.0
GOVT007.03: Media and Politics,SOC,5.0,9.0
GOVT007.12: Intelligence & Ntl Security,SOC,6.0,1.0
GOVT007.13: Political Theory of GOT,"TMV, W",2.0,2.0
GOVT007.14: Does Democracy Work?,,0.0,1.0
GOVT007.15: Dictator 101,,1.0,1.0
GOVT007: First-Year Seminars in Government,,8.0,77.0
GOVT010: Quantitative Political Analysis,QDS,52.0,113.0
GOVT016: Data Visualization,TLA,2.0,3.0
GOVT018: Introduction to Political Game Theory,QDS,11.0,13.0
GOVT019.01: Applied Multivariate Data Analysis,QDS,0.0,1.0
"GOVT019.06: By the Numbers: Race, Incarceration and Politics",QDS,0.0,1.0
GOVT020.01: Women and Politics,"SOC, CI",-11.0,8.0
GOVT020.02: Capitalism and Government,SOC,3.0,3.0
GOVT020.03: Morality and Political Economy,"SOC, W",8.0,1.0
"GOVT020.05: Revolution, Reform and Reaction: The Cold War in Latin America","INT, NW",3.0,1.0
GOVT020.08: America and the Middle East,"NW, INT, SOC",6.0,4.0
"GOVT025: Problems of Political Development: India, South Africa and China",,1.0,3.0
GOVT030.02: Leadership and Political Institutions,"SOC, W",1.0,1.0
GOVT030.03: Political Economy in the Age of Google,SOC,3.0,2.0
GOVT030.04: Political Misinformation and Conspiracy Theories,SOC,5.0,2.0
"GOVT030.09: Law, Courts, and Judges","TMV, W",2.0,1.0
GOVT030.11: Policy Implementation,"SOC, W",2.0,3.0
GOVT031: Campaigns and Elections,"SOC, W",1.0,6.0
GOVT034: Congress and the American Political System,"SOC, W",0.0,7.0
GOVT035: The Presidency,"SOC, W",3.0,8.0
"GOVT037: Polling, Public Opinion, and Public Policy","W, SOC",2.0,19.0
GOVT039: Political Psychology,SOC,-2.0,3.0
GOVT040.03: Politics of Japan: A Unique Democracy?,"INT, SOC, NW",5.0,3.0
GOVT040.07: Comparative Political Economy,"INT, SOC, W",0.0,1.0
GOVT040.09: Politics of Israel and Palestine,"INT, SOC, NW",1.0,11.0
"GOVT040.15: Commodities, Globalization, and Development in Latin America","INT, NW",9.0,5.0
GOVT040.19: State-building in the Middle East and North Africa,"INT, SOC, NW",2.0,2.0
GOVT040.20: Immigration Politics,"SOC, W",7.0,5.0
GOVT040.21: Perception and Misperception: The Politics of the Cold War,INT,3.0,1.0
GOVT040.25: Introduction to Middle East Politics,"INT, SOC, NW",2.0,2.0
GOVT040.26: Authoritarianism vs. Democracy in Europe,"SOC, INT",1.0,1.0
GOVT040.27: Epidemics in History,"SOC, INT",0.0,1.0
GOVT042: Politics of Africa,"INT, SOC, NW",9.0,10.0
GOVT044: Globalization and Global Development,"INT, SOC, NW",2.0,1.0
GOVT046: Politics of the Middle East and North Africa,,1.0,11.0
GOVT047: The Arab-Israeli Conflict (Comparative Politics or International Relations),,2.0,7.0
"GOVT050.02: Civil War, Insurgency, and the International Response","INT, TMV, NW",4.0,2.0
GOVT050.03: The Rise of China,"INT, SOC, NW",2.0,1.0
GOVT050.06: Nuclear Weapons: Physical and Strategic Effects,"INT, SOC",10.0,2.0
GOVT050.08: Psychology and International Politics,SOC,7.0,6.0
GOVT050.16: THE RISE AND FALL OF GREAT POWERS,"INT, SOC",4.0,6.0
GOVT050.18: Foreign Policies of Middle Eastern States,INT,2.0,1.0
GOVT050.19: Development Under Fire,"NW, SOC, INT",1.0,1.0
GOVT052: Russian Foreign Policy,"INT, SOC, W",8.0,12.0
GOVT053: International Security,"INT, SOC",8.0,25.0
GOVT054: United States Foreign Policy,"SOC, W",10.0,49.0
GOVT056: International Relations Theory,,1.0,9.0
GOVT057: International Relations of East Asia,"NW, INT, SOC",0.0,9.0
GOVT058: International Political Economy,"INT, SOC",5.0,17.0
GOVT059: Foreign Policy and Decision Making,"INT, SOC",18.0,37.0
GOVT060.04: Ethics and Public Policy,"TMV, W",11.0,9.0
GOVT060.14: Libertarianism,TMV,3.0,1.0
GOVT060.17: Arab Political Thought,"NW, INT, SOC",3.0,1.0
GOVT060.19: Black Political Thought,TMV,1.0,1.0
"GOVT060.20: Introduction to Law, Social Justice, and Trial Practice",,0.0,6.0
"GOVT060.22: Law, Power & Society",SOC,3.0,1.0
GOVT061: Jurisprudence,TMV,3.0,20.0
GOVT062: Theorizing Free Speech,"SOC, W",1.0,3.0
GOVT063: Foundations of Political Thought: Athens and Jerusalem,"TMV, W",3.0,6.0
GOVT064.01: Liberalism and Its Critics,TMV,6.0,2.0
GOVT065: American Political Thought,"TMV, W",8.0,3.0
"GOVT066.02: Constitutional Law, Development, and Theory","TMV, W",7.0,3.0
GOVT066.03: Democratic Theory,"TMV, W",0.0,1.0
GOVT067: Civil Liberties Legal and Normative Approaches,"W, SOC",3.0,8.0
GOVT068: The Future of Capitalism,TMV,9.0,14.0
GOVT069: Federal Indian Law,"SOC, NW",7.0,7.0
GOVT081.16: The Rise of Populism in Europe,"W, INT, SOC",4.0,3.0
GOVT083.05: The Media and Advertising in American Politics,"SOC, W",-1.0,2.0
GOVT083.06: Political Communication,"W, SOC",1.0,1.0
GOVT083.19: American Political Behavior,"SOC, W",0.0,2.0
GOVT083.21: Experiments in Politics,QDS,1.0,1.0
GOVT083.25: Hating the other side: polarization in American Politics,"SOC, W",1.0,3.0
GOVT083.26: Public Policy and Pandemics,SOC,2.0,1.0
GOVT084.26: Ethnic Conflict,"INT, SOC, NW",1.0,1.0
GOVT084.35: U.S. – Latin America Relations: The Dynamic of Foreign Policy Formulation,"INT, W",3.0,1.0
GOVT084.37: Democracy and Diversity,"W, SOC, INT",-1.0,1.0
GOVT085.02: Leadership and Grand Strategy,"INT, SOC",1.0,1.0
GOVT085.08: US Security Policy in the 21st Century,"INT, SOC",1.0,2.0
GOVT085.12: Military Statecraft in International Relations,"INT, SOC",0.0,1.0
GOVT085.15: Economic Statecraft in International Relations,INT,2.0,1.0
GOVT085.16: The Causes and Prevention of Genocide and Mass Killing,"INT, SOC",4.0,2.0
GOVT085.29: Lessons from America's Foreign Wars,"INT, SOC",5.0,1.0
GOVT085.39: Public Opinion and American Foreign Policy,SOC,3.0,2.0
GOVT086.25: Adam Smith and Political Economy,"SOC, W",4.0,2.0
GOVT086.26: Prophets on Trial,"SOC, TMV",0.0,1.0
"GOVT086.34: Ethics, Economics, and the Environment",TMV,6.0,1.0
GOVT086.37: The Ethics of War and Peace,,0.0,1.0
GOVT086.38: Justice and Work,TMV,1.0,1.0
"GOVT086.42: Work, Leisure, and a Good Life","W, TMV",1.0,1.0
GOVT090.01: London FSP,"INT, SOC, W",0.0,1.0
GOVT090: Seminar,,1.0,2.0
GOVT091: Seminar,,1.0,2.0
GOVT093: Washington DC - Internship Essays,SOC,1.0,3.0
GOVT094: Seminar,"SOC, W",3.0,2.0
GOVT095: Seminar,"SOC, W",1.0,2.0
GOVT098: Honors Research,,1.0,5.0
GRK001.02: Intensive Greek,,1.0,1.0
GRK001: Introductory Greek,,8.0,23.0
GRK003: Intermediate Greek,,3.0,13.0
GRK010: Readings in Greek Prose and Poetry,"LIT, W",1.0,6.0
GRK011: Modern Greek I,,1.0,3.0
GRK020: Homer,"LIT, W",3.0,7.0
GRK022: The Lyric Age of Greece,,1.0,2.0
GRK026: Intellectual Enquiry in Classical Athens,"TMV, W",1.0,4.0
GRK028: Philosophy,"TMV, W",2.0,4.0
GRK029: New Testament,"TMV, W",3.0,2.0
HEBR001: First-Year Courses in Modern Hebrew,,3.0,3.0
HEBR002: First-Year Courses in Modern Hebrew,,0.0,7.0
HEBR003: First-Year Courses in Modern Hebrew,,1.0,9.0
HIST001: Turning Points in American History,"SOC, W",7.0,35.0
HIST002: #EverythingHasAHistory: Understanding America Today,"SOC, W",7.0,3.0
HIST003.01: Europe in the Age of Wonder,"SOC, W",3.0,3.0
HIST003: Europe in Medieval and Early Modern Times,"SOC, W",25.0,72.0
HIST004.03: Introduction to the Modern Middle East and North Africa,"NW, SOC",1.0,1.0
HIST005.02: Introduction to the History of the Islamic Middle East,"INT, SOC, NW",3.0,3.0
HIST005.03: The History of China since 1800,"SOC, NW",-5.0,5.0
HIST005.05: The Emergence of Modern Japan,"SOC, NW",5.0,2.0
HIST005.08: Africa and the World,"INT, SOC, NW",1.0,2.0
"HIST005.11: Gandhi, Twentieth Century India and the World","INT, SOC, NW",1.0,2.0
HIST007.01: The Cold War,"SOC, W",2.0,3.0
HIST007.28: Gender and Urban Transform,"SOC, CI",2.0,1.0
HIST007.29: NAFTA,SOC,0.0,1.0
HIST007.32: Civil War Photographs,"SOC, W",-1.0,2.0
"HIST007.35: Cuba, PR, and the 1898 War","NW, SOC, INT",4.0,3.0
HIST007: First-Year Seminars in History,,19.0,100.0
HIST008.02: The Making of the Modern World Economy,"INT, SOC, W",14.0,10.0
HIST008.03: Happiness: A History,"TMV, W",5.0,1.0
HIST008.04: History of Sexuality in America,"SOC, W",7.0,4.0
"HIST008: Body Parts, Body Wholes: An Introduction to the Comparative History of Medicine","INT, SOC, NW",6.0,4.0
HIST009.01: The Americas from Invasion to Independence,"INT, SOC, W",3.0,1.0
HIST009.04: The Intellectual History of Capitalism,"TMV, W",2.0,2.0
HIST010.02: Archival Research and the Production of History,"SOC, W",-3.0,2.0
HIST010: What is History?,"SOC, W",3.0,5.0
HIST011: The Age of the American Revolution,"SOC, W",6.0,16.0
HIST012: The Civil War Era: From Rebellion to Revolution,"SOC, W",1.0,17.0
"HIST013: Planters, Pirates, and Puritans: 17th-Century English America","SOC, W",3.0,1.0
"HIST014: The Invasion of America: American Indian History, Pre-Contact to 1800","SOC, NW",7.0,52.0
HIST015: American Indians and American Expansion: 1800 to 1924,"SOC, NW",4.0,25.0
HIST016: Race and Slavery in US History,"SOC, W",4.0,2.0
HIST019: United States Political History in the Twentieth Century,"SOC, W",23.0,29.0
HIST020: American Thought and Culture to 1865,"TMV, W",7.0,8.0
HIST021: Modern American Thought and Culture,"TMV, W",6.0,24.0
HIST022: Civil Rights in the United States in the 20th Century,"SOC, CI",4.0,14.0
HIST023: American History since 1980,"SOC, W",9.0,29.0
HIST024: The Cold War and American Life,"SOC, W",6.0,23.0
"HIST025.02: The United States and the World, 1865-1945","INT, SOC, W",7.0,4.0
HIST025.03: The United States and the World since 1945,"INT, SOC, W",3.0,1.0
HIST026: The Vietnam War,"INT, SOC, W",19.0,26.0
HIST027: Gender and Power in American History from the Colonial Period to the Civil War,"SOC, W",2.0,4.0
HIST028: American Women in the Twentieth Century,"SOC, CI",2.0,11.0
HIST029: Women and American Radicalism Left and Right,"SOC, CI",4.0,5.0
HIST031: Latinos in the United States: Origins and Histories,,1.0,2.0
"HIST032: The Life, Death and Rebirth of Great American Cities","SOC, W",1.0,1.0
HIST033.01: Walmart to Wall Street: Excavating American Capitalism since 1970,"SOC, W",6.0,3.0
HIST034: Building America: An Architectural and Social History,"ART, W",3.0,5.0
HIST035: The Creation of 'America' in the Age of Jefferson,,1.0,10.0
HIST036: Health Care in American Society: History and Current Issues,"SOC, W",21.0,72.0
HIST037: The Black Radical Tradition in America,"SOC, W",3.0,14.0
HIST042: Gender and European Society from Antiquity to the Reformation,"TMV, CI",4.0,4.0
"HIST043.01: European Intellectual and Cultural History, 400-1300","TMV, W",1.0,2.0
"HIST043.02: European Intellectual and Cultural History, 1400-1800","TMV, W",7.0,3.0
"HIST043: European Intellectual and Cultural History, 400-1300",,13.0,48.0
"HIST044.02: Arts of Power, from Augustus to the Sun King","W, SOC",4.0,2.0
"HIST044: Medieval France, 400-1494","W, SOC",4.0,9.0
HIST045: Early Modern Europe (1300-1650),"SOC, W",3.0,35.0
HIST046: Spain in the Golden Age,"SOC, W",6.0,21.0
HIST047: The French Revolution and Napoleon,"SOC, W",2.0,17.0
HIST048: European Society in the Industrial Age,,1.0,2.0
"HIST049: Early Modern England, 1485-1780","SOC, W",13.0,27.0
"HIST050: Modern Britain, 1780 to Present","SOC, W",7.0,23.0
HIST052: Modern Germany: 1871-1990,"SOC, W",5.0,13.0
"HIST053: World War II: Ideology, Experience, Legacy","INT, SOC",7.0,34.0
HIST055: The Russian Revolution,"SOC, W",4.0,2.0
HIST056: Twentieth-Century Russia,"SOC, W",1.0,4.0
HIST057: Scientific Revolutions and Modern Society,"TMV, W",4.0,17.0
HIST058: History of the Holocaust,"SOC, W",3.0,5.0
HIST061: Britain and the Sea,"INT, SOC, W",3.0,3.0
HIST062: The First World War,"SOC, W",2.0,8.0
HIST064: The Great War and the Transformation of Europe,"SOC, W",7.0,7.0
HIST065: Modern Europe: The Twentieth Century,"INT, SOC, W",7.0,22.0
HIST066: History of Africa since 1800,"SOC, NW",0.0,1.0
HIST067: The History of Modern South Africa,"SOC, NW",2.0,6.0
HIST069: Islam in Africa,"SOC, CI",3.0,3.0
HIST070.02: Modern Iran,"NW, SOC",0.0,1.0
HIST070: Gender and The Modern Middle East and North Africa,"SOC, NW",1.0,2.0
HIST071: Conflict and Violence in the Middle East,"INT, SOC, NW",9.0,34.0
HIST072.02: Nomad Rulers and Origins of the Modern World,"INT, CI",1.0,2.0
HIST072: Late Imperial China in Global Context,"SOC, NW",2.0,11.0
HIST074: Intellectual History of East Asia,"TMV, NW",4.0,3.0
"HIST075: Colonialism, Development, and the Environment in Africa and Asia","INT, SOC, NW",3.0,3.0
HIST076: From Colonial India to Post-Independence South Asia,"NW, INT, SOC, CI",5.0,9.0
HIST077: Imperialism in Modern East Asia,"INT, SOC, NW",7.0,8.0
HIST078.02: North Korea: Origins and Transitions,"SOC, NW",1.0,1.0
"HIST078.04: Slaves and Rebels in Korea, 1392-1910","NW, SOC",5.0,2.0
HIST079: Postwar Japan: From Occupied Nation to Economic Superpower,"SOC, NW",10.0,12.0
HIST080: The History of Capitalism in Latin America,SOC,6.0,3.0
HIST082.04: Transnational Utopias: Latin American Anarchisms,"NW, TMV",2.0,1.0
"HIST082: Popular Struggle, Political Change and U.S. Intervention in Central America",,2.0,9.0
HIST083: Twentieth-Century Latin America,"SOC, NW",2.0,7.0
HIST084: History of Brazil,"NW, SOC",0.0,1.0
HIST087: Culture and Identity in Modern Mexico,"SOC, NW",1.0,10.0
HIST090.10: Liberalism and Its History: World War II to the Present,"W, SOC",1.0,1.0
"HIST090.13: Placing History: A Exploration of Local History through Archives, Fieldwork, & Digital Maps","NW, SOC",1.0,1.0
HIST090.14: The Global British Empire,"W, INT",0.0,1.0
HIST094.01: War and Peace: A Global History,,1.0,1.0
HIST095.01: Foreign Study Program: London in History,"SOC, W",0.0,2.0
HIST095.02: Foreign Study Program: History Study Abroad,W,0.0,1.0
"HIST096.12: Seminar: Race, Ethnicity and Immigration in U.S. History","SOC, CI",2.0,1.0
HIST096.34: London-Based Archival Research and Historical Writing,,1.0,2.0
HIST096.37: Topics in Economic History,"W, SOC, INT",1.0,1.0
HIST098: Honors Seminar,,1.0,2.0
HIST099.01: Honors Thesis I,,0.0,1.0
HIST099: Thesis,,0.0,1.0
HUM001: Dialogues with the Classics,,50.0,133.0
HUM002: The Modern Labyrinth,"LIT, W",15.0,49.0
HUM004.02: The Sixties,W,8.0,4.0
INTS015: Violence and Security,"INT, SOC",7.0,2.0
INTS016: Introduction to International Development,"INT, SOC, NW",4.0,4.0
INTS017.04: Migration Stories,"INT, ART, CI",1.0,1.0
INTS017.10: How to Be a Fascist,"INT, W",2.0,2.0
INTS018: Global Health and Society,"INT, SOC",2.0,1.0
ITAL001: Introductory Italian I,,15.0,8.0
ITAL002: Introductory Italian II,,11.0,4.0
ITAL003: Introductory Italian III,,12.0,4.0
ITAL011: Intensive Italian,LIT,12.0,7.0
ITAL014: Journey to Italy: An Introduction to Italian Culture,"SOC, CI",3.0,3.0
JAPN001: First-Year Courses in Japanese,,24.0,7.0
JAPN002: First-Year Courses in Japanese,,8.0,12.0
JAPN003: First-Year Courses in Japanese,,7.0,5.0
"JAPN061.06: Languages and Scripts of Gender, Class, and Nation","INT, TMV, NW",0.0,1.0
JWST004: Religion of Israel: The Hebrew Bible (Old Testament),"TMV, W",4.0,24.0
JWST006: Introduction to Judaism,"TMV, W",10.0,49.0
JWST007: First-Year Seminars in Jewish Studies,,6.0,21.0
JWST011: History and Culture of the Jews II: The Modern Period,"SOC, CI",-2.0,7.0
JWST040.01: Politics of Israel and Palestine,"INT, SOC, NW",2.0,1.0
JWST040.06: Jerusalem,"INT, NW",1.0,1.0
"JWST042: Film, Fiction and the Arab-Israeli Conflict","LIT, CI",1.0,1.0
JWST053: Gender and Judaism,"TMV, CI",1.0,2.0
JWST057: Ethnomusicology,,1.0,2.0
JWST061: Modern Judaism,"TMV, W",0.0,1.0
JWST062: Jewish Mysticism,"TMV, W",2.0,3.0
JWST074.01: The Jewish Jesus,"TMV, W",1.0,1.0
JWST080: History of Holocaust Historiography,,1.0,2.0
LACS001.10: Modern Latin America,"SOC, NW",5.0,2.0
LACS001: Introduction to Latin America and the Caribbean,"SOC, NW",15.0,21.0
"LACS004: History, Culture and Society: The Many Faces of Latin America","LIT, NW",3.0,2.0
LACS007.04: Democ&Develop in LatAmerica,"INT, SOC, NW",0.0,2.0
LACS007.05: Latinx Stage and Screen,ART,-1.0,3.0
"LACS007: First Year Seminars in Latin American, Latino and Caribbean Studies",,4.0,9.0
LACS024: Mexican Cinema,"ART, NW",2.0,1.0
"LACS030.08: Race, Class, Gender and Sexuality in Contemporary Brazilian Film","INT, CI",2.0,2.0
LACS030.16: Confine&Detain;,"SOC, NW",2.0,1.0
LACS050.13: The History of Capitalism in Latin America,SOC,3.0,1.0
"LACS082: Popular Struggle, Political Change and U.S. Intervention in Central America",,1.0,1.0
LAT001: Introductory Latin,,43.0,68.0
LAT002: Introductory Latin II,,3.0,2.0
LAT003: Intermediate Latin,,26.0,45.0
LAT010: Readings in Latin Texts,"LIT, W",12.0,15.0
LAT015: Literature and the Romans,"LIT, W",5.0,2.0
LAT020: Vergil,"LIT, W",2.0,5.0
LAT022: Literature of the Republic,"LIT, W",6.0,13.0
LAT024: Topics in the Literature of the Augustan Age,"LIT, W",2.0,6.0
LAT028: Literature of the Later Empire and the Middle Ages,"LIT, W",2.0,7.0
LATS003: Introduction to Latino Studies,"SOC, CI",10.0,3.0
LATS005: Complexities of Latino Identity,"SOC, W",4.0,3.0
LATS007.01: Science Fictions of Color,"LIT, CI",2.0,1.0
LATS007: First Year Seminar in Latino Studies,,1.0,2.0
LATS020: Latina/o Social Movements,"SOC, W",2.0,2.0
LATS041: Representations of/from Latinos in the Media and the Arts,ART,5.0,7.0
LATS045: Comparative Perspectives on the US-Mexican Borderlands,"SOC, CI",2.0,2.0
"LATS051: Beyond Sex, Drugs, and Rock ‘n Roll: Radical Latinxs in the 60’s","CI, ART",1.0,1.0
LING001: Introductory Linguistics,QDS,151.0,244.0
LING007.01: Dialects,"SOC, CI",0.0,1.0
LING007: First-Year Seminar in Linguistics,,6.0,32.0
LING008: The Structure of Maori,,1.0,3.0
LING010: Statistics for Linguistics,"SOC, QDS",2.0,2.0
LING011.03: Language Behavior and Verbal Cultures in the Middle East,"INT, SOC, CI",2.0,1.0
LING011.10: Language in Africa,"SOC, NW",2.0,2.0
LING011.16: Language and Ethnicity,"SOC, CI",1.0,1.0
LING011.17: Language Acquisition,SOC,2.0,2.0
LING017: Sociolinguistics,"SOC, CI",24.0,24.0
LING018: History of the English Language,"QDS, W",6.0,3.0
LING020: Experimental Phonetics,TAS,6.0,11.0
LING021: Phonology,QDS,4.0,14.0
LING022: Syntax,QDS,3.0,25.0
LING023: Semantics and Pragmatics,QDS,3.0,19.0
LING024: Discourse Analysis,SOC,2.0,6.0
LING025: Typology,,1.0,8.0
LING026: Morphology,QDS,5.0,7.0
LING027: Historical Linguistics,QDS,5.0,2.0
LING033: Typology,SOC,-1.0,2.0
LING035: Field Methods,QDS,3.0,11.0
LING050.01: Psycholinguistics,"QDS, SOC",3.0,3.0
LING080: Seminar in Linguistics,,1.0,16.0
MATH001: Introduction to Calculus,QDS,1.0,51.0
MATH002: Calculus with Algebra and Trigonometry,QDS,3.0,12.0
MATH003: Calculus,QDS,-53.0,327.0
MATH004: Applications of Calculus to Medicine and Biology,QDS,0.0,24.0
MATH007.03: Hazardous Data,TAS,5.0,2.0
MATH007: First-Year Seminar in Mathematics,,3.0,27.0
MATH008: Calculus of Functions of One and Several Variables,QDS,43.0,377.0
MATH009: Multivariable Differential Calculus with Linear Algebra,QDS,12.0,80.0
MATH010: Introductory Statistics,QDS,9.0,33.0
MATH011: Accelerated Multivariable Calculus,QDS,96.0,260.0
MATH012: Calculus Plus,,6.0,46.0
MATH013: Calculus of Vector-Valued Functions,QDS,65.0,147.0
MATH017: An Introduction to Mathematics Beyond Calculus,QDS,5.0,18.0
MATH019: Introduction to Set Theory,QDS,2.0,3.0
MATH020: Probability,QDS,9.0,77.0
MATH022: Linear Algebra with Applications,QDS,47.0,90.0
MATH023: Differential Equations,QDS,12.0,136.0
MATH024: Linear Algebra,QDS,17.0,53.0
MATH025: Number Theory,QDS,14.0,17.0
MATH027: Advanced Calculus and Dynamics in Biology and Medicine,QDS,2.0,2.0
MATH028: Introduction to Combinatorics,QDS,10.0,10.0
MATH030.04: Evolutionary Game Theory and Applications,QDS,0.0,1.0
MATH031: Topics in Algebra,QDS,5.0,29.0
MATH032: The Shape of Space,QDS,1.0,9.0
MATH035: Real Analysis,QDS,1.0,20.0
MATH036: Mathematical Models in the Social Sciences,TAS,-1.0,23.0
MATH038: Graph Theory,QDS,4.0,11.0
MATH039: Logic,,2.0,5.0
MATH040: Probability and Statistical Inference,QDS,-14.0,10.0
MATH042: Differential Geometry I,QDS,1.0,2.0
MATH043: Functions of a Complex Variable,QDS,1.0,17.0
MATH046: Introduction to Applied Mathematics,TAS,1.0,3.0
MATH050: Introduction to Linear Models,TAS,-4.0,22.0
MATH053: Partial Differential Equations,QDS,2.0,8.0
MATH054: Topology I,QDS,2.0,13.0
MATH060: Probability (Honors Section of MATH 20),QDS,2.0,6.0
MATH063: Real Analysis,QDS,8.0,31.0
MATH066: Mathematical Topics in Modern Physics,QDS,2.0,1.0
MATH068: Algebraic Combinatorics,QDS,1.0,2.0
MATH069: Logic (Honors Section of MATH 39),QDS,2.0,5.0
MATH070: Elements of Multivariate Statistics & Statistical Learning,QDS,0.0,6.0
MATH071: Algebra,QDS,6.0,23.0
MATH072: Topics in Geometry,QDS,1.0,4.0
MATH073: Metric Spaces and Measure Theory,QDS,2.0,5.0
MATH075: Applied Topics in Number Theory and Algebra,QDS,1.0,4.0
MATH076: Topics in Applied Mathematics,QDS,0.0,8.0
MATH081: Abstract Algebra,QDS,5.0,13.0
MATH086: Mathematical Finance I,QDS,0.0,3.0
MATH089: Seminar in Logic,QDS,1.0,4.0
MATH098: Senior Seminar,,1.0,2.0
MES001.01: Introduction to Middle Eastern Studies,"NW, INT, SOC",10.0,2.0
MES002.01: The Making of the Modern Middle East,"NW, INT, SOC",2.0,1.0
MES004.01: Energy and Society in the Middle East and North Africa,"INT, NW",1.0,1.0
MES006.02: An Introduction to Islam,"TMV, NW",4.0,3.0
"MES007.01: Arab Revolutions: Dependency, Despotism and the Struggle for Democracy","INT, NW",8.0,4.0
MES007.03: Jerusalem: Vision and Reality,"LIT, NW",2.0,1.0
MES007.04: Steamships to Social Media,"INT, SOC, NW",2.0,2.0
MES008.01: Introduction to Middle East Politics,"NW, INT, SOC",9.0,4.0
MES009.01: Islam and Medicine from the Medieval to Modern Eras,"TMV, NW",2.0,2.0
MES010.10: Soundscapes of the Middle East,"NW, INT, ART",1.0,1.0
"MES012.02: Modern Iraq: Society, Politics, and Literature","SOC, NW",7.0,3.0
MES012.04: America and the Middle East,"NW, INT, SOC",4.0,1.0
MES012.05: Arab Political Thought,"INT, SOC, NW",4.0,2.0
MES016.07: The Arabian Nights East and West,"INT, LIT, NW",33.0,13.0
MES016.11: From Genesis to Seinfeld: Jewish Humor and its Roots,"LIT, W",0.0,2.0
MES019.02: Muslim Feminism,"INT, SOC, NW",-1.0,1.0
MES019.04: Gender and The Modern Middle East and North Africa,"SOC, NW",1.0,1.0
MUS001: Beginning Music Theory,ART,27.0,30.0
MUS002: The Music of Today,"ART, W",3.0,48.0
"MUS003.02: American Music: Covers, Theft, and Musical Borrowing","ART, W",14.0,6.0
MUS003.03: American Music: Roots and Revolutionaries,"ART, W",5.0,3.0
MUS003.04: American Music: Music and Metaphor,"ART, W",0.0,1.0
MUS003: American Music,,7.0,68.0
MUS004: Global Sounds,"ART, NW",15.0,27.0
MUS005.02: History of Jazz since 1959,"ART, W",3.0,1.0
MUS006: Masterpieces of Western Music,"ART, W",4.0,19.0
MUS007: First-Year Seminar,,1.0,15.0
MUS008: Programming for Interactive Audio-Visual Arts,TLA,7.0,11.0
MUS010: Lives and Works of the Great Composers,"ART, W",7.0,18.0
MUS011: Introduction to Opera,"ART, W",7.0,8.0
MUS013: Literature and Music,"INT, LIT, W",1.0,1.0
MUS016.02: Music and Media in Everyday Life,"ART, W",9.0,4.0
"MUS017.04: The Art, Science, and Symbolism of Musical Instruments","ART, NW",3.0,1.0
MUS018.02: Hip-Hop in the United States,"CI, ART",3.0,2.0
